,2022-04-23,2022-01-01,2021-10-09,2021-07-17
Change To Liabilities,20225000.0,172671000.0,-57273000.0,69572000.0
Total Cashflows From Investing Activities,-114026000.0,-98433000.0,-61165000.0,-57422000.0
Net Borrowings,147537000.0,147537000.0,147537000.0,147537000.0
Total Cash From Financing Activities,-273735000.0,-95374000.0,-292297000.0,-459752000.0
Change To Operating Activities,-42416000.0,-110117000.0,97933000.0,63473000.0
Net Income,139791000.0,81669000.0,169813000.0,178696000.0
Change In Cash,-462695000.0,-3217000.0,-204642000.0,-70946000.0
Repurchase Of Stock,-264469000.0,-96704000.0,-230213000.0,-395644000.0
Effect Of Exchange Rate,-19994000.0,3264000.0,43000.0,1000.0
Total Cash From Operating Activities,-54940000.0,187326000.0,148777000.0,446227000.0
Depreciation,85581000.0,65196000.0,59426000.0,58058000.0
Dividends Paid,-154796000.0,-154796000.0,-62954000.0,-64825000.0
Change To Inventory,-119550000.0,-211265000.0,-20959000.0,48069000.0
Change To Account Receivables,-174895000.0,147953000.0,-127304000.0,681000.0
Other Cashflows From Financing Activities,-2007000.0,-7000.0,2000.0,-152000.0
Change To Netincome,36324000.0,41219000.0,27141000.0,27678000.0
Capital Expenditures,-114854000.0,-98656000.0,-61410000.0,-58689000.0
Issuance Of Stock,,1337000.0,868000.0,869000.0
