,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,728189000.0,596205000.0,553936000.0,573530000.0
Minority Interest,355756000.0,359575000.0,361057000.0,370479000.0
Net Income,548014000.0,449105000.0,437698000.0,292122000.0
Selling General Administrative,1203238000.0,1170110000.0,1215688000.0,913414000.0
Gross Profit,2233245000.0,2060359000.0,1900617000.0,1888206000.0
Ebit,854717000.0,714320000.0,507208000.0,847691000.0
Operating Income,854717000.0,714320000.0,507208000.0,847691000.0
Other Operating Expenses,,,,
Interest Expense,-55372000.0,-56632000.0,-59771000.0,-53011000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,172944000.0,146789000.0,117488000.0,278082000.0
Total Revenue,57719446000.0,59628810000.0,58912421000.0,53405695000.0
Total Operating Expenses,56864729000.0,58914490000.0,58405213000.0,52558004000.0
Cost Of Revenue,55486201000.0,57568451000.0,57011804000.0,51517489000.0
Total Other Income Expense Net,-126528000.0,-118115000.0,46728000.0,-274161000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,555245000.0,449416000.0,436448000.0,295448000.0
Net Income Applicable To Common Shares,548014000.0,449105000.0,437698000.0,292122000.0
